Scenario,Year,ghg,lcspe,fed,esfe,co2elc,ccsfos,nonnrg
5th,2020,52.192,0.1208438015306068,369.0,0.1880839967112265,419.29620981167545,0.0,11.789
5th,2030,21.491,0.1697057017147424,293.0,0.2304516580708132,3.6947313181675367,0.006,7.425
5th,2040,5.588,0.2189279857071839,296.0,0.3020609072951752,-49.16856018916883,0.045,4.053
5th,2050,0.999,0.2644281828685061,325.0,0.404113030649133,-65.78372583130295,0.052,1.938
5th,2060,-1.952,0.2897847336501741,337.0,0.4361544162641698,-81.19226066707697,0.045,1.199
5th,2070,-5.47,0.2824179860133483,355.0,0.4612221429300344,-93.62264423498354,0.047,0.196
5th,2080,-7.504,0.2548772532460522,361.0,0.4784800809075156,-95.56925271122904,0.026,-1.337
5th,2090,-9.882,0.2422682141854702,342.0,0.490721961098769,-92.79060369902196,0.002,-1.829
5th,2100,-10.297,0.2381379310151095,321.0,0.495587285387148,-103.8822809571639,0.0,-3.261
95th,2020,57.998,0.1825939479338829,458.0,0.247995217927799,522.2672003628422,0.024,21.202
95th,2030,36.154,0.518472687553315,447.0,0.3532088758407138,215.36027953099293,5.426,13.25
95th,2040,23.194,0.7568167198563884,487.0,0.5115195516463035,58.75985534947228,10.279,9.964
95th,2050,14.701,0.8903352088784768,540.0,0.6400296894897619,11.096974116297792,12.638,9.402
95th,2060,9.722,0.9298528558945371,583.0,0.7128587430085743,4.807863737373967,15.653,9.146
95th,2070,8.296,0.9658119482071624,628.0,0.740345233664955,4.721146554295469,14.6,9.046
95th,2080,8.039,0.9800390135201176,685.0,0.7585043812161903,1.222638643529685,15.651,8.549
95th,2090,7.637,0.986282833729322,752.0,0.7683170231187241,0.5313209688565071,16.0,8.198
95th,2100,7.486,0.992682665551264,818.0,0.7820478016003474,1.4072167081715172,15.575,8.165
IMP-LD,2020,54.008,,422.0,0.189919894839646,,,
IMP-LD,2030,23.982,,313.0,0.3327492755076392,,,
IMP-LD,2040,13.246,,267.0,0.4757162136860257,,,
IMP-LD,2050,7.113,,243.0,0.5527892823623252,,,
IMP-LD,2060,4.317,,240.0,0.5688845373944074,,,
IMP-LD,2070,2.263,,240.0,0.566238929378358,,,
IMP-LD,2080,0.707,,243.0,0.5495436026163982,,,
IMP-LD,2090,0.194,,241.0,0.544459868826934,,,
IMP-LD,2100,-0.073,,239.0,0.5422795678780827,,,
IMP-Ren,2020,57.47,0.1598342354702128,443.0,0.1995243985869957,456.6466804176873,0.0,17.673
IMP-Ren,2030,29.647,0.398221846783975,404.0,0.2966566453800945,69.6258335334748,0.407,10.923
IMP-Ren,2040,16.824,0.6749198795873751,379.0,0.5095965130923885,14.280159285518154,0.927,9.556
IMP-Ren,2050,10.358,0.8519064617172121,369.0,0.6628486749498225,3.0882802147920025,0.558,9.313
IMP-Ren,2060,8.092,0.9131903311562692,387.0,0.7100489972935616,-0.4844937807235142,0.402,8.999
IMP-Ren,2070,7.201,0.939160288297816,419.0,0.7325613012345591,-1.4396957205650462,0.299,8.71
IMP-Ren,2080,6.652,0.9536347911094047,447.0,0.7420548055879382,-1.482295835661896,0.191,8.165
IMP-Ren,2090,5.952,0.9594017863114932,468.0,0.7449616762049196,-1.7232381238974828,0.168,7.423
IMP-Ren,2100,5.586,0.9640401188725434,500.0,0.7484292430740966,-1.6495845214393168,0.148,6.957
IMP-SP,2020,55.002,0.1749242039123732,414.0,0.2019043806266368,428.5270797735233,0.001,17.711
IMP-SP,2030,32.743,0.3368770608137518,410.0,0.2889364783309218,125.91783855153544,0.241,9.948
IMP-SP,2040,18.904,0.5233497436546909,390.0,0.4134983492080768,28.95943373074589,0.617,5.139
IMP-SP,2050,9.52,0.7085853465926358,355.0,0.5729801304335934,15.966239447657404,0.487,2.573
IMP-SP,2060,5.472,0.8130615671246089,335.0,0.6347582282485633,9.198749884362762,0.345,2.235
IMP-SP,2070,2.395,0.8925352048653352,321.0,0.6853633456600029,3.7935097490319247,0.234,1.946
IMP-SP,2080,0.691,0.9302750678073538,306.0,0.6984661680122567,0.4516439566890731,0.153,1.567
IMP-SP,2090,-0.147,0.9411276878210696,281.0,0.6944427428499792,-1.6786713256880912,0.131,1.151
IMP-SP,2100,-1.08,0.9619921587833186,264.0,0.7112959919769094,-3.451469950164508,0.094,0.658
Median,2020,55.092,0.1628955889104696,414.0,0.2027239041693158,459.1583334631807,0.0,17.711
Median,2030,31.454,0.3458715698197179,399.0,0.2656694269365413,99.1606195009142,0.594,10.492
Median,2040,17.14,0.5973560167028804,394.0,0.3990503174289175,2.516088065628085,1.683,7.269
Median,2050,8.586,0.7788045750690368,410.0,0.5187205641815655,-5.492370169032874,2.229,5.13
Median,2060,5.472,0.8487275739283493,449.0,0.5803318572870726,-7.124095431471336,2.868,4.997
Median,2070,3.52,0.8630561746058032,508.0,0.6173795772902165,-6.475388070818031,3.363,4.708
Median,2080,2.244,0.8740402243337274,546.0,0.644713804471704,-4.45025916286234,3.257,3.646
Median,2090,0.194,0.8789652522860012,574.0,0.6516631937214105,-3.651195081592363,3.304,3.19
Median,2100,-0.073,0.8865476349953043,612.0,0.6590488584447362,-4.329745783796109,3.088,2.37
b,2020,52.1919999999922,0.17999999952448728,394.5949668728709,0.18776558223503642,518.8123983664896,0,17.018213510802063
b,2030,35.16518764527041,0.3832714337000521,401.3682284491082,0.15704353429724982,216.87320219990391,0.2027462108863646,11.53098741186826
b,2040,25.51664159634543,0.44760362995168546,372.40142774885237,0.1655868073403805,22.48633894033805,1.4710999256605513,6.534376592423155
b,2050,7.508302198599414,0.6014904428282002,356.51832568556983,0.23427394730615173,-276.8164575103871,5.202859964293993,3.065569057223947
b,2060,6.883774499058732,0.5985534979973016,369.4048888216588,0.23481282245509316,-261.4586000243732,6.523015923904152,1.6165186870778516
b,2070,6.76996946524632,0.6021107534415241,385.24557378088593,0.23248850285437603,-241.20136620701814,7.0458616590277705,0.913294850907361
b,2080,4.135229253854893,0.6375754282489152,397.4770037970468,0.2670600913665228,-218.35744572272904,9.723212387220519,-0.12476079223442937
b,2090,-3.2993324207717043,0.6714197085282989,428.29135907071725,0.3204698773252997,-276.1094129473376,16.74970742629965,-0.36351992693919594
b,2100,-8.199849242972412,0.6734261318751067,403.4038934360615,0.4016771531410301,-292.48658198882663,20.402943055510857,-1.4327598537154724
base,2020,52.19199999997196,0.17999999960353602,397.01907814203815,0.1891952536960968,504.3743014828299,0,17.29077674902592
base,2030,31.139459999892903,0.3493302852229555,398.1119267309652,0.2633467748449505,100.15222581809383,0.2213279910448648,10.596919999996029
base,2040,17.311399999028794,0.6033295766494543,393.0915617013979,0.39535578254391046,2.4909271870545684,1.7001994792141062,7.196310000042938
base,2050,8.500140000296513,0.7710165292924437,412.7435655584522,0.5100123841284877,-5.547293874411609,2.2510608095458062,5.078699999813623
base,2060,5.526719999766472,0.8520800494786734,454.0436196732669,0.5670852349776395,-7.195336389514619,2.8965770505879256,4.9470300000245
base,2070,3.5551999998825297,0.8544256128562391,505.58352273068624,0.6129746334491915,-6.540141952865158,3.39692694030977,4.660919999951752
base,2080,2.266439999753251,0.8659600044484042,543.798558558447,0.6407821905698866,-4.494761755065855,3.289809391871548,3.6095399999913864
base,2090,0.19206000020866298,0.8766313826184318,570.4872164862608,0.6483889965171395,-3.6877070325024786,3.3365508569531226,3.1581000000048505
base,2100,-0.07373000011434927,0.8776821586532183,607.8601335467422,0.6564396167296427,-4.373043241589862,3.118473979944673,2.346300000028624
by,2020,52.19200000013193,0.17999999997226412,394.61487611580435,0.1874511702165642,517.5784851541246,0,17.280082032676102
by,2030,31.070416931770573,0.4245277010638106,391.3012939633228,0.16045939104477763,115.4694822226091,0.2049269096307512,11.516196253063724
by,2040,15.925741861424413,0.542420751047501,360.30618809925267,0.17930404878178385,-154.15159883201764,4.255861029933903,5.947518931343621
by,2050,7.4444556904367545,0.6001607958201214,357.6341917013872,0.22980302613905307,-265.26530851197725,6.201902169260855,3.081726711227557
by,2060,6.87153025213516,0.5967353968011929,367.03963550493813,0.23411620972330874,-261.26437995096774,6.012689943560183,1.6105030641285094
by,2070,6.737058688542224,0.6126161227772418,382.35149208870797,0.23695133636155996,-230.96360418180097,6.115663797104563,0.903692295328215
by,2080,4.009012128448471,0.632562461357701,396.5798721424143,0.27020823986899817,-232.2021904264368,9.812597286884877,-0.12520834593246205
by,2090,-2.4668119927351153,0.670176571303325,426.5887449816355,0.31336329100879806,-273.2187170529329,15.799690604492358,-0.36636079733312
by,2100,-11.536374541310538,0.6662838497489076,431.18375807159356,0.4902288739816297,-289.7297538664487,27.33774844616236,-1.4337968880719816
ccy,2020,52.19199999075124,0.1799999763612753,394.89011842585984,0.18732591067275745,516.9032540219722,0,17.27639727449093
ccy,2030,30.30080543362745,0.42990370673622413,387.9604989356482,0.1618591145201371,80.72704523193978,0.20492536819456353,11.535213388850186
ccy,2040,15.493396909879444,0.5448680484762229,358.8378656081792,0.18114547716844462,-167.59095546331,3.9920459672577624,5.917652790485389
ccy,2050,10.364138996122813,0.5704143575760213,359.3058520334299,0.2044926238768163,-227.26645092784503,4.671107149306819,3.1017516683974797
ccy,2060,9.360176667893947,0.5745169421713876,371.48387107034796,0.21443760137544554,-216.00982698479817,5.113169426287231,1.627800425376423
ccy,2070,7.430103543173394,0.604497550587726,385.00395797899165,0.23316558720190755,-224.09748724911324,5.887086815263145,0.891252267312633
ccy,2080,4.02758715369264,0.6359322370248088,396.0315795621756,0.2707689879011415,-237.782472823565,8.874370498996262,-0.12661382179981914
ccy,2090,-5.933037843624953,0.6734806502819953,436.19533634418514,0.3638123398945428,-277.7272682235733,20.898321715083252,-0.3729432346299911
ccy,2100,-14.322942161545345,0.6672206311926824,431.16365047894215,0.5331569912372202,-294.78175971050615,31.736518290317136,-1.435409077765608
fnesecfcng,2020,52.1920000000677,0.1799999997358791,396.5064448282539,0.1890098448800488,503.7246575660114,0,17.028748462167233
fnesecfcng,2030,34.5225422767114,0.41803870068625815,398.1118596151184,0.2633468192412895,100.15222571979865,0.22263812742231492,10.596920000008238
fnesecfcng,2040,29.116383186111154,0.4918525179660774,392.79090491698145,0.39565840259022766,2.541248952830734,1.6665321632086791,7.1963100000387
fnesecfcng,2050,26.41500247446313,0.5535308828497496,410.8857030956121,0.512318458202993,-5.43744647630268,2.2510608088447905,5.078700000007849
fnesecfcng,2060,25.81852136085357,0.5878430989151422,451.2955617821975,0.5705383668419352,-7.05285448502623,2.8965770414427476,4.947029999940364
fnesecfcng,2070,25.78579850918431,0.6227448539957429,505.5835228956459,0.612974633323567,-6.540141893947346,3.396926930985142,4.660919999911574
fnesecfcng,2080,25.717510766541018,0.6592025647223588,543.7985585729452,0.6407821905844253,-4.405756591165269,3.289809390815877,3.6095400001125886
fnesecfcng,2090,25.586468389508212,0.6968459790413595,570.4872165337274,0.6483889965839921,-3.6146831608294985,3.336550836341616,3.1581000000089636
fnesecfcng,2100,24.59646345568388,0.7276206805875804,607.8601335882721,0.6564396168856613,-4.2864483555047395,3.118473975703853,2.3463000002828736
g,2020,52.19199999999964,0.17999999951716286,394.3466386070244,0.1876771992392164,515.8580566633751,0,17.026450548371674
g,2030,31.768539999952115,0.415671370211428,392.5067704007331,0.1600000441611656,148.5904666061691,0.2046358183469815,11.273929259537246
g,2040,17.311399999989376,0.5287688594969854,359.85713262181525,0.17492711411693168,-120.4643297621385,3.4806838813872534,5.909412992017742
g,2050,8.671859999999088,0.583114143640511,357.5849182766371,0.22188984034805412,-232.22298971612955,5.7119039186295,2.8980408146816594
g,2060,5.526720000022997,0.6079975363660587,362.2222539041675,0.25194761048184267,-252.26450989236665,6.854415545939484,1.4584645856991152
g,2070,3.5551999999990054,0.6352770204880256,375.4146419069121,0.274297769380389,-240.41311602497947,8.783247209567307,0.7652481814875576
g,2080,2.2664399999977647,0.6363287772095875,391.8542434322451,0.28417861874281286,-238.23925949777592,10.774788546438945,-0.23747084239755467
g,2090,0.19594000000318476,0.661507130727625,422.7542719417288,0.29101269753018233,-271.01555911142265,10.705250263592445,-0.46760452566512306
g,2100,-0.07227000006182738,0.6597409803236953,388.1700043757816,0.2917920156426212,-278.4862680028035,8.757180083642334,-1.5046931757802084
gb,2020,52.19200000003423,0.17999999951817575,394.48166549668736,0.18761651766907075,515.0842391466202,0,17.029067553887298
gb,2030,31.768540000152736,0.4155844038959786,392.38720537218614,0.1599698943201526,148.96213074369177,0.2047810224081029,11.264873155340485
gb,2040,17.311399999999356,0.5292199321818801,358.3409193422862,0.1783642418552859,-142.01092943010195,3.261448208631098,6.065286278170889
gb,2050,8.50013999998994,0.5899755074476889,358.4990865226704,0.23222639150563593,-271.00438301391796,6.413846823763896,3.2099807319379834
gb,2060,5.5267199999981464,0.6121444343669428,365.96101401111036,0.25168250890255833,-261.60315711023503,6.882200482195452,1.4669262850656926
gb,2070,3.5552000000010575,0.6254608836042305,379.5615891562309,0.2650468698929338,-258.23583884823125,9.268088257065155,0.7704237097905896
gb,2080,2.221560000108947,0.6399492083286443,395.611388111369,0.2866273614080907,-253.58493852128362,11.103191265235719,-0.07304238365400625
gb,2090,0.1920599999723119,0.6560902752282368,427.57111573527067,0.3120141586881109,-269.199775933768,14.04485356509539,-0.2694755850845206
gb,2100,-0.07372999993331719,0.6570632979123127,391.83331013381553,0.3417807150520601,-281.11872130793273,14.411568233479152,-1.3499497198971744
gccy,2020,52.19199999719034,0.17999999997440966,394.6913772780702,0.18741904695037473,516.0403908038345,0,17.271301679763702
gccy,2030,31.139460008970637,0.42627692661202277,390.0299250916787,0.16131031435453855,101.67228406389887,0.21551523980757317,11.876091104792067
gccy,2040,16.96860000620296,0.5375589254098404,361.1682620654411,0.18015717661007866,-141.7781390841649,4.214936974497432,6.1216131882629385
gccy,2050,8.671857162612893,0.5912646590139973,359.39472088909184,0.2194946785247272,-231.98822086994988,6.300759702347587,3.0772312010122223
gccy,2060,5.526719999263878,0.6094459252108082,363.79896258224335,0.24808565418331507,-249.48296579376859,7.160242358809055,1.4560074020139506
gccy,2070,3.5551999986928338,0.6272434186043359,378.00401471304343,0.26347456657645496,-258.7567955418698,9.063547171506867,0.7749242556135038
gccy,2080,2.221560042570475,0.634974199479328,394.6205906334408,0.2871442564242732,-265.26211296504584,11.338755045350547,-0.10226528088758625
gccy,2090,0.1920600035039451,0.6494101149838033,426.7645250331946,0.31524833636151256,-270.84975258183806,14.972573326332355,-0.27316397595435166
gccy,2100,-0.07372997216110745,0.6579697243576069,394.4449999747836,0.3703555444497339,-290.07152354219664,17.63521895739118,-1.35232275053228
gcny,2020,52.192000000017806,0.17999999948547118,394.5067857856386,0.187589276790381,515.8707482542394,0,17.21677177138347
gcny,2030,31.768539999992946,0.4157220360710881,392.38220502648824,0.1599094847374049,147.52576818621003,0.2047810216884037,11.302739678135904
gcny,2040,17.31140000001644,0.5289236103259508,358.43780502749496,0.1782534642713285,-142.40931943142613,3.270269833966681,6.09872583092723
gcny,2050,8.500139999989063,0.5899131168770898,358.57046271647226,0.23171540663362844,-271.37751212097345,6.392723876936242,3.211369070585666
gcny,2060,5.526719999983228,0.6113293645530036,365.95856560669284,0.25156539817702095,-263.0165902587255,6.842993933290184,1.4664177416114899
gcny,2070,3.555199999996578,0.6263728093920897,379.68665605381074,0.26505849603447074,-258.66555923882413,9.174858037298911,0.7748845220777142
gcny,2080,2.221560000145016,0.641109936111165,395.5673353771429,0.28715310521719173,-254.00271853701253,10.94287416853001,-0.06986770395465157
gcny,2090,0.19205999996551149,0.6624059462146056,427.50706115071455,0.31653495593240866,-273.44807556382716,16.393602973582375,-0.27195344552859196
gcny,2100,-0.07372999987986188,0.6644493795172335,399.78824172837136,0.3767393768607452,-287.6132240824453,19.31106617538725,-1.3528832631446455
gy,2020,52.19200006227248,0.17999999894227064,394.3717655852517,0.18766842951730875,516.4349763499879,0,17.216698420462617
gy,2030,31.768539979614943,0.41575238341920884,392.68464109852977,0.15989468718255012,147.21931549701839,0.2046307853144757,11.307848498497835
gy,2040,17.311399992237828,0.5281812136048084,359.91166879166076,0.1751362562895752,-123.24216609163587,3.4376109494937475,5.931245358041271
gy,2050,8.671859995637643,0.5824983778933877,357.7405506185368,0.2210905002993815,-233.4304518534336,5.7797679332825656,2.898003179268035
gy,2060,5.526719959718932,0.6057410127349923,363.6885374804058,0.25079354124062775,-255.1574144902608,7.1772932820972235,1.4542165252726182
gy,2070,3.5551999608249645,0.6258691387243391,378.0458360597997,0.26428115638483307,-257.6831216769268,9.333276794898778,0.7790030076733269
gy,2080,2.221561930009909,0.6383365905252859,394.73810642463025,0.28902215950435634,-261.5575064883444,11.308547634233651,-0.08403730495588668
gy,2090,0.1920599853818045,0.633254830772688,427.0710159107408,0.3160779090198343,-271.7582864481801,16.93130994894183,-0.27292713172671684
gy,2100,-0.07372938861021361,0.6628387860375672,404.27594876921734,0.4105185471745282,-290.06924557398224,22.53206183923925,-1.3536069116015423
n,2020,52.19199999992587,0.17999999951783877,395.0742410557873,0.18772043858463242,519.5163552088504,0,17.01740964525216
n,2030,36.206074703605644,0.3493302851001035,400.4197553677249,0.1551127717408372,236.78401269969902,0.20240347853053736,11.519493269451754
